Proteína,Organismo,PubChemID,Status,Fonte
steroidogenic factor 1,Homo sapiens,NP_004950,encontrada,NCBI
insulin-degrading enzyme isoform 1,Homo sapiens,NP_004960,encontrada,NCBI
matrix metalloproteinase-14 preproprotein,Homo sapiens,NP_004986,encontrada,NCBI
serine/threonine-protein kinase PLK1,Homo sapiens,NP_005021,encontrada,NCBI
tyrosine-protein kinase ABL1 isoform a,Homo sapiens,NP_005148,encontrada,NCBI
"ATP-binding cassette sub-family B member 6, mitochondrial isoform 1",Homo sapiens,NP_005680,encontrada,NCBI
snurportin-1,Homo sapiens,NP_005692,encontrada,NCBI
melanocortin receptor 4,Homo sapiens,NP_005903,encontrada,NCBI
histone-lysine N-methyltransferase 2A isoform 2 precursor,Homo sapiens,NP_005924,encontrada,NCBI
peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Homo sapiens,NP_006212,encontrada,NCBI
tumor susceptibility gene 101 protein,Homo sapiens,NP_006283,encontrada,NCBI
GTP-binding nuclear protein Ran isoform 1,Homo sapiens,NP_006316,encontrada,NCBI
transforming acidic coiled-coil-containing protein 3,Homo sapiens,NP_006333,encontrada,NCBI
DNA polymerase eta isoform 1,Homo sapiens,NP_006493,encontrada,NCBI
nuclear receptor coactivator 2 isoform a,Homo sapiens,NP_006531,encontrada,NCBI
C-X-C chemokine receptor type 6,Homo sapiens,NP_006555,encontrada,NCBI
COP9 signalosome complex subunit 5,Homo sapiens,NP_006828,encontrada,NCBI
tyrosine-protein phosphatase non-receptor type 5 isoform a,Homo sapiens,NP_008837,encontrada,NCBI
DNA polymerase iota isoform a (long),Homo sapiens,NP_009126,encontrada,NCBI
H(+)-transporting V0 sector ATPase subunit c',Saccharomyces cerevisiae,NP_015090,encontrada,NCBI
protein fosB isoform 1,Mus musculus,NP_032062,encontrada,NCBI
interleukin-2 precursor,Mus musculus,NP_032392,encontrada,NCBI
urokinase-type plasminogen activator precursor,Mus musculus,NP_032899,encontrada,NCBI
plasminogen precursor,Mus musculus,NP_032903,encontrada,NCBI
cAMP-dependent protein kinase catalytic subunit beta isoform 1,Mus musculus,NP_035230,encontrada,NCBI
urokinase plasminogen activator surface receptor precursor,Mus musculus,NP_035243,encontrada,NCBI
nuclear receptor ROR-gamma isoform 1,Mus musculus,NP_035411,encontrada,NCBI
muscarinic acetylcholine receptor M5,Homo sapiens,NP_036257,encontrada,NCBI
dual specificity tyrosine-phosphorylation-regulated kinase 1A,Rattus norvegicus,NP_036923,encontrada,NCBI
rac GTPase-activating protein 1 isoform a,Homo sapiens,NP_037409,encontrada,NCBI
cysteine protease ATG4B isoform a,Homo sapiens,NP_037457,encontrada,NCBI
transactivating tegument protein VP16 [Human herpesvirus 1],Human alphaherpesvirus,NP_044650,encontrada,NCBI
sentrin-specific protease 1,Homo sapiens,NP_055369,encontrada,NCBI
geminin,Homo sapiens,NP_056979,encontrada,NCBI
1-acylglycerol-3-phosphate O-acyltransferase ABHD5 isoform a,Homo sapiens,NP_057090,encontrada,NCBI
DNA polymerase kappa isoform 1,Homo sapiens,NP_057302,encontrada,NCBI
tyrosyl-DNA phosphodiesterase 2,Homo sapiens,NP_057698,encontrada,NCBI
Vif,Human immunodeficiency,NP_057851,encontrada,NCBI
Vpr,Human immunodeficiency,NP_057852,encontrada,NCBI
Tat,Human immunodeficiency,NP_057853,encontrada,NCBI
"Envelope surface glycoprotein gp160, precursor",Human immunodeficiency,NP_057856,encontrada,NCBI
scavenger receptor class B member 1 isoform 1,Mus musculus,NP_058021,encontrada,NCBI
survival motor neuron protein isoform d,Homo sapiens,NP_059107,encontrada,NCBI
cytochrome P450 3A4 isoform 1,Homo sapiens,NP_059488,encontrada,NCBI
Golgi-associated PDZ and coiled-coil motif-containing protein isoform a,Homo sapiens,NP_065132,encontrada,NCBI
mucolipin-1,Homo sapiens,NP_065394,encontrada,NCBI
fibroblast growth factor 22 isoform 1 precursor,Homo sapiens,NP_065688,encontrada,NCBI
COUP transcription factor 2 isoform a,Homo sapiens,NP_066285,encontrada,NCBI
carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 isoform 1,Homo sapiens,NP_067021,encontrada,NCBI
DNA dC->dU-editing enzyme APOBEC-3G isoform 1,Homo sapiens,NP_068594,encontrada,NCBI
5-hydroxytryptamine receptor 5A,Homo sapiens,NP_076917,encontrada,NCBI
hexokinase HKDC1,Homo sapiens,NP_079406,encontrada,NCBI
caspase-1 isoform alpha precursor,Homo sapiens,NP_150634,encontrada,NCBI
fructose-bisphosphate aldolase,Mycobacterium tuberculosis,NP_214877,encontrada,NCBI
"1,4-dihydroxy-2-naphthoyl-CoA synthase",Mycobacterium tuberculosis,NP_215062,encontrada,NCBI
anion-binding protein,Staphylococcus aureus,NP_371243,encontrada,NCBI
hypothetical protein SA1422,Staphylococcus aureus,NP_374707,encontrada,NCBI
D(3) dopamine receptor isoform e,Homo sapiens,NP_387512,encontrada,NCBI
Lon protease,Escherichia coli,NP_414973,encontrada,NCBI
endoribonuclease toxin MazF,Escherichia coli,NP_417262,encontrada,NCBI
exodeoxyribonuclease V subunit RecD,Escherichia coli,NP_417296,encontrada,NCBI
exodeoxyribonuclease V subunit RecB,Escherichia coli,NP_417297,encontrada,NCBI
exodeoxyribonuclease V subunit RecC,Escherichia coli,NP_417299,encontrada,NCBI
twin arginine protein translocation system - TatA protein,Escherichia coli,NP_418280,encontrada,NCBI
protein phosphatase 1 regulatory subunit 15A,Rattus norvegicus,NP_598230,encontrada,NCBI
(Lyso)-N-acylphosphatidylethanolamine lipase isoform 1,Mus musculus,NP_598837,encontrada,NCBI
DNA repair protein RAD52 homolog isoform a,Homo sapiens,NP_602296,encontrada,NCBI
trace amine-associated receptor 1,Homo sapiens,NP_612200,encontrada,NCBI
diacylglycerol lipase-beta isoform 1,Homo sapiens,NP_631918,encontrada,NCBI
kallikrein-7 isoform 1 preproprotein,Homo sapiens,NP_644806,encontrada,NCBI
lethal factor (plasmid),Bacillus anthracis,NP_652928,encontrada,NCBI
ADP-ribosylation factor GTPase-activating protein 1,Rattus norvegicus,NP_659558,encontrada,NCBI
sentrin-specific protease 8,Homo sapiens,NP_660205,encontrada,NCBI
DNA dC->dU-editing enzyme APOBEC-3F isoform a,Homo sapiens,NP_660341,encontrada,NCBI
Protein skinhead-1,Caenorhabditis elegans,NP_741406,encontrada,NCBI
5-hydroxytryptamine receptor 2A,Mus musculus,NP_766400,encontrada,NCBI
anoctamin-1 isoform 1,Mus musculus,NP_848757,encontrada,NCBI
nuclear receptor coactivator 3 isoform a,Homo sapiens,NP_858045,encontrada,NCBI
kelch-like ECH-associated protein 1,Homo sapiens,NP_987096,encontrada,NCBI
cAMP-dependent protein kinase catalytic subunit beta isoform 3,Homo sapiens,NP_997461,encontrada,NCBI
Polyunsaturated fatty acid lipoxygenase ALOX15B,Homo sapiens,O15296,encontrada,NCBI
Rap guanine nucleotide exchange factor 3,Homo sapiens,O95398,encontrada,NCBI
Dihydrofolate reductase,Homo sapiens,P00374,encontrada,NCBI
Glycoprotein hormones alpha chain,Homo sapiens,P01215,encontrada,NCBI
Cellular tumor antigen p53,Homo sapiens,P04637,encontrada,NCBI
Amyloid-beta precursor protein,Homo sapiens,P05067,encontrada,NCBI
Bifunctional dihydrofolate reductase-thymidylate synthase,Leishmania major,P07382,encontrada,NCBI
Polyunsaturated fatty acid lipoxygenase ALOX12,Homo sapiens,P18054,encontrada,NCBI
Low molecular weight phosphotyrosine protein phosphatase,Homo sapiens,P24666,encontrada,NCBI
RAC-alpha serine/threonine-protein kinase,Homo sapiens,P31749,encontrada,NCBI
Alpha-synuclein,Homo sapiens,P37840,encontrada,NCBI
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,Homo sapiens,P48426,encontrada,NCBI
Caspase-7,Homo sapiens,P55210,encontrada,NCBI
